,temperature,no,bury.success,breed.success,beetle.no,larva_total_weight,no.larva,larva_mean_weight,total_invest_1,groupsize_1,age_A,age_B,age_C,age_a,age_b,age_c,average_age_total ,average_age_M,average_age_F,pronotum_A,pronotum_B,pronotum_C,pronotum_a,pronotum_b,pronotum_c,weight_A,weight_B,weight_C,weight_a,weight_b,weight_c
1,16,n1734,0,0,6,0,0,0,18722.56,4.4,77,76,76,83,76,69,76.17,76.33,76,5.79,5.35,5.34,5.49,6.05,5.71,307,244,259,289,355,339
2,16,n1795,0,1,6,2948,31,95.09677419,22447.04,4.9,78,94,85,113,94,113,96.17,85.67,106.67,5.52,5.4,5.78,5.98,6.1,5.85,303,264,309,383,400,353
3,16,n1796,0,0,6,0,0,0,15232.6,3.7,78,85,85,113,94,113,94.67,82.67,106.67,6.5,5.5,5.75,6.05,6.25,6.12,406,282,296,378,381,350
4,16,n1809,1,1,6,5211,31,168.0967742,24189.09,5,83,99,91,99,97,90,93.17,91,95.33,5.7,5.72,5.72,5.9,5.5,6.1,300,266,320,318,286,331
5,16,n2051,1,1,6,150,1,150,23813.62,5,112,108,105,110,106,107,108,108.33,107.67,5.82,5.68,5.84,5.9,5.1,4.75,330,302,322,356,276,194
6,16,n2052,0,1,6,3099,18,172.1666667,25564.2,5.1,105,110,108,105,106,107,106.83,107.67,106,5.68,4.95,5.04,5.98,6.15,6.1,285,212,201,298,397,372
7,16,n2053,0,1,6,9854,40,246.35,16269.7,3.4,106,107,105,112,111,108,108.17,106,110.33,6.28,5.5,5.78,5.9,6.05,3.72,435,274,312,323,385,315
8,16,n2054,0,1,6,13466,57,236.245614,20422.67,4.6,105,110,108,105,106,107,106.83,107.67,106,5.7,6.2,5.3,4.3,5.9,6.32,306,408,253,161,351,368
9,16,n2085,0,1,6,10913,31,352.0322581,16395.31,3.9,116,105,106,117,93,119,109.33,109,109.67,5,5.25,5.18,5.08,5.48,5.98,254,231,258,250,279,397
10,16,n2086,1,1,6,4526,15,301.7333333,14974.47,3.5,120,99,106,111,105,115,109.33,108.33,110.33,6.7,6.25,5.72,6.3,5.32,5.58,410,399,217,334,254,269
11,16,n2087,0,0,6,0,0,0,15332.07,3.3,99,106,116,115,117,105,109.67,107,112.33,6.12,5.35,5.84,5.2,6.2,5.6,398,247,337,219,384,283
12,16,n2088,0,1,6,1857,5,371.4,24240.16,5.1,105,99,106,117,119,93,106.5,103.33,109.67,5.48,5.18,5.78,6.05,6.2,5.8,270,240,304,308,377,318
13,16,n2091,1,1,6,591,2,295.5,21937.81,4.5,111,120,104,117,122,124,116.33,111.67,121,5.85,5.98,6.25,5.08,5.87,6.22,332,339,426,229,339,344
14,16,n2092,1,1,6,11822,38,311.1052632,16301.78,3.7,105,117,110,105,104,117,109.67,110.67,108.67,5.6,6.02,5.08,5.1,5.1,5.46,299,363,233,225,239,246
15,16,n2156,1,0,6,0,0,0,9773.42,2.5,71,82,84,83,119,87,87.67,79,96.33,5.7,6.1,6,5.8,4.9,6.02,365,336,361,320,203,382
16,16,n2209,0,1,6,3917,12,326.4166667,,,79,79,78,79,91,95,83.5,78.67,88.33,5.86,5.05,6.12,6.25,5.78,5.6,363,233,388,468,342,333
17,16,n2266,0,1,6,8895,38,234.0789474,26741.43915,4.9,93,109,93,92,93,93,95.5,98.33,92.67,6.12,5.62,5.9,5.75,6.08,5.96,397,267,364,360,368,388
18,16,n2267,0,1,6,12099,59,205.0677966,,,75,109,93,92,141,93,100.5,92.33,108.67,5.7,5.85,6.22,6.15,5.3,6.42,386,370,396,409,270,439
19,16,n2268,1,1,6,3584,15,238.9333333,,,93,93,75,109,93,92,92.5,87,98,5.85,6,6.15,6.1,6.15,5.56,340,350,395,379,408,339
20,16,n2270,0,1,6,7708,29,265.7931034,,,95,77,94,95,183,95,106.5,88.67,124.33,6.35,5.2,5.75,6.2,5.62,6.32,415,252,334,413,266,363
21,16,n2271,0,1,6,2832,9,314.6666667,,,95,95,94,107,143,95,104.83,94.67,115,6.18,6.3,5.6,5.85,5.1,6,383,398,341,352,210,354
22,16,n2282,0,1,6,3683,10,368.3,,,82,84,82,111,116,100,95.83,82.67,109,6,4.85,5.2,5.72,5.92,6.2,346,216,262,280,330,386
23,16,n2283,1,1,6,685,3,228.3333333,,,82,84,84,100,111,100,93.5,83.33,103.67,6.18,5.95,6.3,6.02,4.8,6,393,354,369,335,209,367
24,16,n2303,1,0,6,0,0,0,,,69,68,69,89,85,89,78.17,68.67,87.67,5.62,6.2,6.2,6.15,6.05,6.25,308,399,402,407,364,383
25,16,n2325,0,1,6,2145,7,306.4285714,,,68,68,69,69,68,89,71.83,68.33,75.33,6.1,5.45,5.78,5.8,6.45,5.25,385,271,355,307,460,394
26,16,n2326,0,1,6,462,2,231,,,69,68,69,107,68,89,78.33,68.67,88,6.15,6,6.04,5.98,5.52,5.82,361,359,363,344,311,342
1,17,n1895,1,0,6,0,0,0,18722.43,4,69,77,77,65,67,65,70,74.33,65.67,5.95,6.35,6.05,4.95,5.92,5.15,343,399,345,217,334,245
2,17,n1897,0,1,6,N/A,38,N/A,16811.9,3.3,77,67,77,67,66,69,70.5,73.67,67.33,6.32,6,6.15,6.2,5.75,5.52,402,348,377,336,337,300
3,17,n1898,1,1,6,5385,34,158.3823529,17131.5,4,77,67,77,65,66,69,70.17,73.67,66.67,6.18,5.72,5.44,4.9,4.95,5,346,307,291,215,225,206
4,17,n2285,0,0,6,0,0,0,17034.99,3.9,82,82,84,100,116,99,93.83,82.67,105,6.2,5.56,5,5.98,6.12,5,364,306,205,384,344,213
5,17,n2286,1,1,6,4498,18,249.8888889,18091.61,3.8,82,84,84,111,100,100,93.5,83.33,103.67,5.55,6.2,6.05,5.62,5.85,5.52,289,332,343,294,324,282
6,17,n2287,1,1,6,1208,4,302,18341.55,3.5,82,82,82,100,116,100,93.67,82,105.33,6.18,6.6,5.7,5.98,5.75,6.12,356,405,286,348,305,390
