"no","Male.._walk","Male.._walk.1","Male.A_walk","Female.O_walk","Female.H_walk","Female.X_walk","Male.._drag","Male.._drag.1","Male.A_drag","Female.O_drag","Female.H_drag","Female.X_drag","total_clean","total_drag","temperature","dominant_drag_proportion","dominant_clean_proportion","group_size","S_d","S_c"
"n1734",5330.261016,4305.537604,2805.13113,1348.465514,574.47284,5220.729768,0,0,271.1371,0,62.5327,198.871,19584.59787,532.5408,16,0.509138643,0.272165967,4.33333333333333,0.715111983152161,0.289182825404224
"n1795",4517.903374,1876.116738,3364.308108,2610.44193,4533.762662,4589.312858,0,0,0,0,16.4665,18.0665,21491.84567,34.533,16,0.523166247,0.213537401,5.22222222222222,0.80085684060399,0.0960475524806851
"n1796",1415.53773,2202.73577,3394.86179,1110.93362,630.53828,4164.260246,0,30.4664,0,19.7331,131.732,0,12918.86744,181.9315,16,0.72407472,0.322339421,3.66666666666667,0.845447822175879,0.30639554895269
"n1809",4359.909972,5304.39925,2024.874692,5200.729202,5036.398236,2861.26881,0,0,0,201.8709,0,0,24787.58016,201.8709,16,1,0.213994235,5.22222222222222,1,0.101296807839568
"n1833",2100.1305,2912.9888,2131.91285,2146.59744,1642.91656,952.39067,0,0,0,0,0,0,11886.93682,0,18,NA,0.245057986,4.5,NA,0.0984749692302911
"n1834",3839.9601,1576.91818,1703.38276,23.93311,591.46061,2988.17022,44.8662,327.3299,615.86103,0,0,382.3962,10723.82498,1370.45333,18,0.449384898,0.358077468,4.4,0.608151068985095,0.418030956873282
"n1835",3166.349,4652.95325,2817.41872,1436.58654,4660.86495,2517.68855,0,6.19994,0,92.3324,452.6625,330.0629,19251.86101,881.25774,18,0.513655063,0.242099449,5.3,0.718241584815539,0.137094105275821
"n1836",1938.379972,1974.31268,5344.592402,1131.98871,2212.84468,4071.0906,69.666,230.19776,127.9321,81.6659,1443.5653,166.86492,16673.20904,2119.89198,18,0.680961725,0.320549715,5.1,0.790081929873166,0.257189652818582
"n1855",41.13291,656.4955,4005.69512,4308.6582,315.40213,5039.0194,0,0,0,149.73184,52.7995,344.9969,14366.40326,547.52824,18,0.630098824,0.350750241,3.8,0.784293686489324,0.518090543213982
"n1856",5205.5674,4940.2721,4890.23655,4556.573,2316.21855,5020.03482,0,0,0,0,108.599,379.409188,26928.90242,488.008188,18,0.777464799,0.193307819,5.8,0.894177177733692,0.0557235744728052
"n1857",2289.30323,3040.63747,2008.24697,773.12482,2732.23874,2573.9011,0,412.662,0,29.4664,489.3951,150.665,13417.45233,1082.1885,18,0.452227223,0.226618094,5.1,0.659517932981648,0.115730875714437
"n1895",2313.57616,1169.65414,3231.63398,448.862044,462.4619,2145.2454,377.9212,36.6663,44.4662,0,24.3998,428.99569,9771.433624,912.44919,17,0.470158442,0.330722605,4.5,0.696603978380746,0.339098408408551
"n1896",1584.11751,0,3778.2277,437.32974,2.99997,1361.45322,800.79154,0,0,0,0,377.59637,7164.12814,1178.38791,17,0.679565305,0.527381368,2.55555555555556,0.845696253337365,0.654840515945782
"n1897",1928.31359,2942.904678,865.12512,2746.3059,691.52654,251.53099,0,20.2665,366.52938,1185.55561,0,0,9425.706818,1572.35149,17,0.754001645,0.312221113,3.7,0.878985310612277,0.362291926815138
"n1898",2706.3397,4643.78993,1629.91787,497.0616,1037.95703,3761.29612,259.9307,48.99959,57.7994,0,10.3332,165.46499,14276.36225,542.52788,17,0.479110309,0.325278236,4,0.615947654225899,0.333026342983096
"n2016",1329.9857,2726.57385,1857.3825,140.465296,3370.9648,291.46374,0,422.39573,0,0,593.59388,0,9716.835886,1015.98961,18,0.58425192,0.34692001,3.3,0.811043843686811,0.417140138052595
"n2045",3799.2952,3085.56801,1191.92151,1674.8495,4253.57978,1143.38717,28.1997,123.5987,0,0,512.39496,230.9311,15148.60117,895.12446,18,0.572428732,0.280790268,4.4,0.71724736092723,0.235421860614834
"n2046",3884.34894,725.5835,4407.26584,4152.03021,1166.69277,1371.12757,0,62.6821,0,526.3554,0,91.7867,15707.04883,680.8242,18,0.773114998,0.280591592,4.1,0.879671442105866,0.311256595601467
"n2047",4422.69517,5075.73057,4316.0777,4076.82957,2178.7181,889.43046,459.6682,237.1769,414.372,1264.52694,425.6903,196.4902,20959.48157,2997.92454,18,0.42180079,0.242168708,5.2,0.403972547256309,0.179680290955582
"n2048",3998.26338,2028.91335,2582.74375,5741.246015,1329.55651,1987.0475,58.8661,311.2635,24.2664,243.7309,44.86621,14.6665,17667.77051,697.65961,18,0.44615382,0.324955886,4.9,0.601213862440155,0.246158485114218
"n2050",4065.42971,4727.16028,2045.65793,897.20316,5536.83162,3032.7191,48.1329,269.2762,7.79992,94.4658,105.66559,267.064,20305.0018,792.40441,18,0.339821683,0.272683139,5.1,0.444850575984772,0.215035389180186
"n2051",3778.365108,5426.763828,3404.49881,5560.089364,737.83895,3160.356976,0,0,0,0,0,0,22067.91304,0,16,NA,0.251953565,4.9,NA,0.193434697295973
"n2052",3776.802806,5352.441712,2848.01806,5153.145036,911.1304,2164.078014,0,0,0,0,0,0,20205.61603,0,16,NA,0.264898714,4.3,NA,0.217317964458761
