no,depilation,temperature
n2815,4,18
n2249,4,18
n2248,4,18
n2213,3,18
n2212,5,18
n2211,4,18
n2210,4,18
n2160,4,18
n2159,4,18
n2158,4,18
n2157,5,18
n2094,4,18
n2093,4,18
n2090,4,18
n2089,4,18
n2050,4,18
n2048,4,18
n2047,4,18
n2046,5,18
n2045,4,18
n2016,2,18
n2015,1,18
n1857,3,18
n1856,3,18
n1855,4,18
n1836,5,18
n1835,5,18
n1834,5,18
n1833,4,18
n2784,4,17
n2783,5,17
n2741,4,17
n2740,2,17
n2455,2,17
n2454,4,17
n2453,4,17
n2452,2,17
n2439,1,17
n2438,3,17
n2437,2,17
n2436,2,17
n2435,5,17
n2434,2,17
n2330,2,17
n2329,2,17
n2328,5,17
n2327,5,17
n2307,5,17
n2306,3,17
n2305,4,17
n2304,4,17
n2287,4,17
n2286,3,17
n2285,5,17
n2284,4,17
n1898,4,16
n1897,3,16
n1896,2,16
n1895,3,16
n2326,5,16
n2325,3,16
n2303,4,16
n2302,4,16
n2283,3,16
n2282,2,16
n2271,3,16
n2270,3,16
n2269,3,16
n2268,2,16
n2267,3,16
n2266,3,16
n2209,3,16
n2208,5,16
n2156,1,16
n2155,3,16
n2092,4,16
n2091,3,16
n2088,3,16
n2087,3,16
n2086,3,16
n2085,2,16
n2054,4,16
n2053,4,16
n2052,4,16
n2051,3,16
n1809,3,16
n1733,5,16
n1734,2,16
n1795,4,16
n1796,5,16
